,Tweets
129,"Jangan lupaa, malam ini ada #Collabonation Konser Silaturahmi Ramadan buat nemenin hari Minggu kamu!

Don’t forget… https://t.co/IdknYMkoNb"
130,"Akhirnya lagu hasil kolaborasi aku bareng @IndosatIM3 @wordfangs dan @bilalindrajaya, Alunan Temu, udah bisa kalian… https://t.co/BhdXI5O9nf"
131,Di bulan Ramadhan ini bakal ada yg seru antara aku dan @idgitaf nih. Coba tebaak kita mau ngapain ya kira-kira 🤔
132,"Aku, @wordfangs, dan @bilalindrajaya ingin merayakan kebahagiaan kami lewat lagu “Alunan Temu”, karna setelah 2 tah… https://t.co/Oam3abrTLN"
133,Waw ini kayanya sudah hampir 7 tahun lalu. Masih disimpan hehe terima kasiih ❤️ https://t.co/hbAMNi4LDI
134,Super sweet! Thank youu✨🌞 https://t.co/uCu2JkBv5J
135,"Indahnyaa, terimakasih ✨ https://t.co/rbQ7rzQlJF"
136,Wooow terlihat sekali ini fase belia yang sedang eksplorasi yaaa. But thank youu masih simpan https://t.co/vLj6g3DUjQ
137,WAAAW dedikasi tinggi! terima kasih sekali! Semoga karya-karyaku bisa menemani dirimu dalam banyak perjalanan hidup… https://t.co/h60oTMS5cY
138,@ichon93 Belinya disini https://t.co/Ozz1q5LghF
139,"RT @jguntari: @isyanasarasvati Lagu Malam Hari &amp; biarkan aku tertidur indah banget, Kak!"
140,Kangen buangeet buanget.. kapan ya bisa ketemu kalian lagi? 😩 https://t.co/asD8Scu0C9
141,BEUU MANTAAAPP💥 https://t.co/ElROVokF39
142,Awww so sweet of you! Thank you ya. Kamu juga terus semamgat dan bahagia :) https://t.co/prIqVnmmPT
143,Huwaduh secepatnya ya semoga.. pasti akan aku TTD :) https://t.co/qsAHgidBx7
144,😜😜😜🙏🏻 https://t.co/U5T1uk9bfq
145,Wadaww gelaaa! Full set ya bund. Tengkyu! https://t.co/MBzRdpREo8
146,"IL SOGNO - Isyana Sarasvati, DeadSquad (Official Music Video) MONGGO~
https://t.co/KJmGiwAjJA"
147,Wuih! Keren mantap terima kasih sudah memakai Merch dari aku semoga suka 🙏🏻 https://t.co/a7r9UsPUXd
148,Thank youu so so much 🥺🙏🏻🥰 https://t.co/e3Oo9IHtkF
149,@salpriadi_ @blessedmelon 🤣😜🤣😜🤣
150,@babyquinne Di sasakk🤣
151,@meisellaa Pas SMA ituu lg bosen kayanya pas istirahat akirnya nyasak2 rambut aman tmn2 hhahaha
152,HHAHAH https://t.co/OcdSJq5urn https://t.co/usYgvkbc8c
153,"@Anggun_Cipta @AdibHidayat @CKretschmar @DEADSQUAD_Band @tarjaofficial Waaaa terima kasih banyak Mba Anggun, Mas Adib! 🙏🏻❤️"
154,Waaaa! Thank you! I’m glad that you enjoy my song 🥺🌹 https://t.co/EMCGg1MBJF
155,@AdibHidayat @redrose_records Thank you Mas Adib!🙏🏻
156,"IL SOGNO, A Story of my Dreams. Now available on all digital platforms 🌙

 https://t.co/BoR99aXFep"
157,"UNLOCK THE KEY - Electone version 

https://t.co/azWj7QBmo9"
158,@hasief Thank you Mas Hasief. Had a nice chat with you! Enjoy my new single 🌹
159,"A piece to portray the war that’s been going on inside my mind. Introducing, UNLOCK THE KEY. Now available on all d… https://t.co/ihW17IkGCL"
160,Be prepared for my new story. https://t.co/xym1DYeli6
